medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Ogivri 150 mg, poudre pour solution à diluer pour perfusion – [trastuzumab]",Remise à disposition,Oncologie/Radiothérapie,2026-04-17,2026-04-17,2026-04-17,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ogivri-150-mg-poudre-pour-solution-a-diluer-pour-perfusion-trastuzumab,trastuzumab,Ogivri 150 mg
"Tofranil 10 mg, comprimé enrobé – [imipramine]",Rupture de stock,Psychiatrie,2026-04-15,2022-07-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tofranil-10-mg-comprime-enrobe-imipramine,imipramine,Tofranil 10 mg
"Claventin 3g/200 mg et 5g/200 mg, poudre pour solution injectable (I.V.) – [ticarcilline (sodique), acide clavulanique ]",Rupture de stock,Infectiologie,2026-04-14,2014-08-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/claventin-3g-200-mg-et-5g-200-mg-poudre-pour-solution-injectable-i-v-ticarcilline-sodique-acide-clavulanique,"ticarcilline (sodique), acide clavulanique",Claventin 3g/200 mg et 5g/200 mg
"Téralithe LP 400 mg, comprimé sécable à libération prolongée – [lithium (carbonate de)]",Remise à disposition,Psychiatrie,2026-04-14,2026-04-08,2026-04-08,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/teralithe-lp-400-mg-comprime-secable-a-liberation-prolongee-lithium-carbonate-de,lithium (carbonate de),Téralithe LP 400 mg
"Spécialités à base de Venlafaxine LP 37,5 mg et LP 75 mg en gélule à libération prolongée – [venlafaxine]",Tension d'approvisionnement,Psychiatrie,2026-04-13,2025-03-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-venlafaxine-lp-37-5-mg-et-lp-75-mg-en-gelule-a-liberation-prolongee-venlafaxine,venlafaxine,Spécialités à base de Venlafaxine LP 37
"Clomipramine Viatris 25 mg, comprimé pelliculé – [clomipramine (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-04-10,2025-07-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/clomipramine-viatris-25-mg-comprime-pellicule-clomipramine-chlorhydrate-de,clomipramine (chlorhydrate de),Clomipramine Viatris 25 mg
"Parlodel 5 mg et 10 mg, gélule – [bromocriptine (mésilate de)]",Remise à disposition,"Endocrinologie, Neurologie",2026-04-10,2026-04-10,2026-04-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/parlodel-5-mg-et-10-mg-gelule-bromocriptine-mesilate-de,bromocriptine (mésilate de),Parlodel 5 mg et 10 mg
"Scopoderm TTS 1 mg/72 heures, dispositif transdermique – [scopolamine]",Remise à disposition,ORL,2026-04-09,2026-04-01,2026-04-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/scopoderm-tts-1-mg-72-heures-dispositif-transdermique-scopolamine,scopolamine,Scopoderm TTS 1 mg/72 heures
"Paclitaxel AHCL 6 mg/ml, solution à diluer pour perfusion - flacons de 50 ml et 100 ml – [paclitaxel]",Tension d'approvisionnement,Oncologie/Radiothérapie,2026-04-09,2023-09-07,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/paclitaxel-ahcl-6-mg-ml-solution-a-diluer-pour-perfusion-flacons-de-50-ml-et-100-ml-paclitaxel,paclitaxel,Paclitaxel AHCL 6 mg/ml
"Endoxan 500 et 1000 mg, poudre pour solution injectable – [cyclophosphamide]",Tension d'approvisionnement,Oncologie/Radiothérapie,,2026-01-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/endoxan-500-et-1000-mg-poudre-pour-solution-injectable-cyclophosphamide,cyclophosphamide,Endoxan 500 et 1000 mg
