medicament,statut,domaine,date_maj,date_debut,date_remise,url
Trandolapril 2 mg et 4 mg – [trandolapril],Tension d'approvisionnement,Cardiologie,2026-06-18,2024-07-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/trandolapril-2-mg-et-4-mg-trandolapril
"Alkonatrem 150 mg, gélule – [chlorhydrate de déméclocycline]",Rupture de stock,"Hématologie, Oncologie/Radiothérapie",2026-06-17,2013-12-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/alkonatrem-150-mg-gelule-chlorhydrate-de-demeclocycline
"Méthylphénidate Viatris LP, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-17,2026-06-16,2026-06-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-viatris-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de
"Téralithe 250 mg, comprimé sécable – [lithium (carbonate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-17,2025-09-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/teralithe-250-mg-comprime-secable-lithium-carbonate-de
"Spécialités à base de propranolol 40 mg, comprimé – [chlorhydrate de propranolol]",Tension d'approvisionnement,Cardiologie,2026-06-17,2025-11-27,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol
"Befizal L.P. 400 mg, comprimé enrobé à libération prolongée – [bézafibrate]",Remise à disposition,Endocrinologie,2026-06-16,2026-06-16,2026-06-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/befizal-l-p-400-mg-comprime-enrobe-a-liberation-prolongee-bezafibrate
"Rispéridone 0,5 mg, 1 mg, 2 mg et 4 mg, comprimé orodispersible - [rispéridone]",Tension d'approvisionnement,Psychiatrie,2026-06-16,2025-02-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-0-5-mg-1-mg-2-mg-et-4-mg-comprime-orodispersible-risperidone
"Norcholesterol iodé [131I] CIS Bio International 7,5 à 15 MBq/mL solution injectable [Référence: Norchol-131] – [6-iodométhylnorcholestérol [131 I]]",Remise à disposition,"Imagerie/Radiologie, Médecine nucléaire",2026-06-16,2026-05-29,2026-05-29,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/norcholesterol-iode-131i-cis-bio-international-7-5-a-15-mbq-ml-solution-injectable-reference-norchol-131-6-iodomethylnorcholesterol-131-i
"Dectancyl 0,5 mg, comprimé – [dexaméthasone (acétate de)]",Tension d'approvisionnement,"Dermatologie, Endocrinologie, Hématologie",,2026-06-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dectancyl-0-5-mg-comprime-dexamethasone-acetate-de
"Chibroxine 0,3%, collyre en solution – [norfloxacine]",Tension d'approvisionnement,Ophtalmologie,,2026-06-10,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/chibroxine-0-3-collyre-en-solution-norfloxacine
"Azactam 1 g, poudre et solution pour usage parentéral – [aztréonam]",Rupture de stock,Infectiologie,2026-06-15,2024-04-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/azactam-1-g-poudre-et-solution-pour-usage-parenteral-aztreonam
"Ogivri 420 mg, poudre pour solution à diluer pour perfusion – [trastuzumab]",Remise à disposition,Oncologie/Radiothérapie,2026-06-15,2026-06-15,2026-06-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ogivri-420-mg-poudre-pour-solution-a-diluer-pour-perfusion-trastuzumab
"Bosentan 125 mg, comprimé pelliculé – [bosentan monohydraté]",Tension d'approvisionnement,Cardiologie,2026-06-15,2026-03-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/bosentan-125-mg-comprime-pellicule-bosentan-monohydrate
"Diprostene, suspension injectable en seringue pré-remplie – [bétaméthasone (dipropionate de), bétaméthasone (phosphate sodique de)]",Tension d'approvisionnement,"Dermatologie, ORL, Rhumatologie",2026-06-12,2026-04-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/diprostene-suspension-injectable-en-seringue-pre-remplie-betamethasone-dipropionate-de-betamethasone-phosphate-sodique-de
